video_key,label
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_006.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_014.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_021.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_031.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_032.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_001_034.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_971.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_972.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_973.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_974.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_975.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_976.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_977.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_978.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_979.mp4,none
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_983.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_986.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_988.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_990.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_991.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_992.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_995.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_996.mp4,extreme
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_997.mp4,mild
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_998.mp4,extreme
